customer_id,cluster_id,segment_label,rfm_score,umap_x,umap_y,is_high_value
12347.0,0,Champions,0.3932,-5.4859,7.4921,True
12348.0,4,Lost,0.3072,-1.083,5.5753,False
12349.0,0,Champions,0.3601,-4.1185,6.1879,True
12350.0,1,Loyal Customers,0.1789,17.4298,9.4899,True
12351.0,1,Loyal Customers,0.152,14.5358,-2.0866,True
12352.0,0,Champions,0.3466,-6.9906,4.2853,True
12353.0,4,Lost,0.2254,11.9547,6.548,False
12354.0,4,Lost,0.2207,16.8781,10.4573,False
12355.0,4,Lost,0.2287,10.8502,6.5792,False
12356.0,0,Champions,0.3898,-5.3706,7.6287,True
12357.0,3,New Customers,0.5396,-7.9759,13.1739,False
12358.0,0,Champions,0.3621,-3.811,5.7684,True
12359.0,3,New Customers,0.4201,-7.0294,10.9058,False
12360.0,0,Champions,0.3542,-5.1598,6.2118,True
12361.0,1,Loyal Customers,0.1981,3.1753,5.1243,True
12362.0,0,Champions,0.3965,-6.3637,7.6298,True
12363.0,4,Lost,0.2656,11.7744,7.9605,False
12364.0,4,Lost,0.3223,0.3826,8.9069,False
12365.0,1,Loyal Customers,0.1932,11.0166,5.7746,True
12366.0,1,Loyal Customers,0.0494,8.1033,-6.2047,True
12367.0,4,Lost,0.301,16.3519,16.7788,False
12368.0,1,Loyal Customers,0.0575,8.0045,-5.9142,True
12369.0,1,Loyal Customers,0.1617,5.3482,2.0918,True
12370.0,0,Champions,0.353,-4.7376,6.2679,True
12371.0,0,Champions,0.3471,-3.9098,5.9155,True
12372.0,4,Lost,0.2936,6.8095,8.6948,False
12373.0,1,Loyal Customers,0.1942,5.7995,6.3646,True
12374.0,4,Lost,0.3381,-2.5581,5.4538,False
12375.0,4,Lost,0.3046,12.503,10.2611,False
12376.0,1,Loyal Customers,0.1511,7.5735,0.4206,True
12377.0,0,Champions,0.2262,-1.8648,4.2071,True
12378.0,0,Champions,0.3234,-4.4167,6.5564,True
12379.0,4,Lost,0.2964,0.1396,8.0961,False
12380.0,3,New Customers,0.4473,-7.2433,11.1237,False
12381.0,4,Lost,0.3332,-0.7484,5.9838,False
12383.0,4,Lost,0.2601,-0.9072,4.9327,False
12384.0,4,Lost,0.299,11.8513,9.8467,False
12385.0,1,Loyal Customers,0.1726,5.5514,1.7493,True
12386.0,1,Loyal Customers,0.1744,10.882,5.6211,True
12387.0,1,Loyal Customers,0.1336,14.9831,-3.7246,True
12388.0,0,Champions,0.3641,-4.9784,5.5756,True
12389.0,1,Loyal Customers,0.1609,5.2937,2.3946,True
12390.0,4,Lost,0.2753,16.3735,13.8392,False
12391.0,0,Champions,0.3414,-3.1496,4.1613,True
12392.0,1,Loyal Customers,0.0633,9.3261,-6.7199,True
12393.0,4,Lost,0.316,-2.5076,2.9596,False
12394.0,4,Lost,0.2941,9.8816,8.7725,False
12395.0,0,Champions,0.396,-7.7537,7.9194,True
12396.0,1,Loyal Customers,0.039,7.7834,-5.8594,True
12397.0,4,Lost,0.3209,8.4142,8.6846,False
12398.0,4,Lost,0.3038,8.8402,8.6989,False
12399.0,4,Lost,0.2934,-4.9163,2.5518,False
12400.0,1,Loyal Customers,0.1349,14.9089,-3.5107,True
12401.0,1,Loyal Customers,0.1783,18.002,8.8839,True
12402.0,4,Lost,0.1985,0.0385,2.9075,False
12403.0,4,Lost,0.2963,10.4664,8.8401,False
12404.0,1,Loyal Customers,0.024,6.7465,-7.721,True
12405.0,4,Lost,0.263,8.7186,8.6412,False
12406.0,0,Champions,0.3879,-5.3438,7.5972,True
12407.0,4,Lost,0.3131,-0.4874,5.7258,False
12408.0,0,Champions,0.3631,-5.1607,6.3,True
12409.0,2,At Risk,0.6004,-8.2294,13.5343,False
12410.0,1,Loyal Customers,0.1934,5.712,6.3353,True
12411.0,1,Loyal Customers,0.1384,13.8293,-2.8373,True
12412.0,4,Lost,0.3175,-2.6445,3.2893,False
12413.0,4,Lost,0.2941,1.2732,8.3873,False
12414.0,4,Lost,0.2375,-0.7186,2.1698,False
12416.0,1,Loyal Customers,0.036,7.549,-7.3516,True
12417.0,3,New Customers,0.4386,-8.314,9.5782,False
12418.0,4,Lost,0.2892,-1.0865,5.0264,False
12419.0,1,Loyal Customers,0.1527,7.5298,0.4234,True
12420.0,4,Lost,0.2825,16.003,14.0348,False
12421.0,4,Lost,0.3211,-2.7806,0.3467,False
12422.0,0,Champions,0.3719,-8.0785,8.2539,True
12423.0,0,Champions,0.3578,-7.0982,4.0995,True
12424.0,0,Champions,0.2868,-2.7715,5.248,True
12425.0,4,Lost,0.2947,8.8984,8.7483,False
12426.0,4,Lost,0.2418,6.6432,7.3698,False
12427.0,4,Lost,0.3117,6.864,9.9077,False
12428.0,0,Champions,0.4174,-6.7626,10.8432,True
12429.0,0,Champions,0.4155,-6.6968,10.7955,True
12430.0,4,Lost,0.2864,16.66,15.3772,False
12431.0,3,New Customers,0.4973,-8.5947,11.6946,False
12432.0,0,Champions,0.3613,-4.5566,6.5956,True
12433.0,2,At Risk,0.6011,-8.1435,13.4093,False
12434.0,4,Lost,0.2857,6.3583,8.9969,False
12435.0,3,New Customers,0.4689,-7.3676,12.083,False
12436.0,4,Lost,0.2666,16.6237,13.6575,False
12437.0,3,New Customers,0.5656,-9.0067,12.6843,False
12438.0,4,Lost,0.3365,-2.4965,5.5443,False
12439.0,1,Loyal Customers,0.0409,5.1005,0.7493,True
12440.0,1,Loyal Customers,0.1267,6.3631,0.4393,True
12441.0,1,Loyal Customers,0.1559,14.4297,-2.0304,True
12442.0,4,Lost,0.3015,16.3284,16.7577,False
12443.0,1,Loyal Customers,0.0094,4.1777,-6.0714,True
12444.0,0,Champions,0.3696,-4.5452,6.5749,True
12445.0,4,Lost,0.2998,12.584,10.1764,False
12446.0,4,Lost,0.2904,15.5943,13.3968,False
12447.0,1,Loyal Customers,0.208,17.4844,10.5417,True
12448.0,4,Lost,0.2886,15.8729,14.8105,False
12449.0,0,Champions,0.3693,-4.6558,6.5879,True
12450.0,4,Lost,0.2562,1.4296,4.7368,False
12451.0,3,New Customers,0.4849,-7.3928,11.971,False
12452.0,4,Lost,0.3018,12.6249,10.2217,False
12453.0,4,Lost,0.2555,16.7095,13.2162,False
12454.0,3,New Customers,0.5135,-7.9089,13.0445,False
12455.0,0,Champions,0.3727,-5.9154,7.8105,True
12456.0,4,Lost,0.3305,-2.664,5.572,False
12457.0,0,Champions,0.3315,-5.0551,4.2761,True
12458.0,4,Lost,0.303,-0.0895,8.0928,False
12459.0,1,Loyal Customers,0.0606,8.6407,-6.1184,True
12460.0,1,Loyal Customers,0.1194,13.0244,-3.9226,True
